"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2024","1,126.72","1,119.50","1,130.97","1,113.79","","0.76%"
"09/26/2024","1,118.27","1,118.02","1,122.79","1,113.15","","-0.15%"
"09/25/2024","1,120.00","1,120.78","1,121.58","1,119.04","","-0.19%"
"09/24/2024","1,122.18","1,118.21","1,126.34","1,118.21","","0.36%"
"09/23/2024","1,118.21","1,107.62","1,120.12","1,106.98","","0.29%"
"09/20/2024","1,115.02","1,122.99","1,123.63","1,114.86","","-0.25%"
"09/19/2024","1,117.87","1,113.60","1,118.67","1,113.60","","0.33%"
"09/18/2024","1,114.16","1,117.25","1,117.33","1,113.92","","0.52%"
"09/17/2024","1,108.37","1,107.51","1,109.91","1,104.80","","0.04%"
"09/16/2024","1,107.91","1,102.21","1,114.28","1,102.21","","-0.21%"
"09/13/2024","1,110.22","1,103.48","1,111.14","1,103.48","","0.53%"
"09/12/2024","1,104.37","1,103.03","1,106.00","1,102.79","","-0.06%"
"09/11/2024","1,105.00","1,110.83","1,110.83","1,103.54","","-2.93%"
"09/10/2024","1,138.33","1,141.13","1,145.11","1,136.16","","-0.14%"
"09/09/2024","1,139.90","1,142.01","1,144.98","1,134.78","","-0.29%"
"09/06/2024","1,143.24","1,135.93","1,146.02","1,135.93","","0.64%"
"09/05/2024","1,135.93","1,128.87","1,139.68","1,128.87","","0.69%"
"09/04/2024","1,128.13","1,128.78","1,133.28","1,121.34","","2.67%"
"09/03/2024","1,098.79","1,089.46","1,105.11","1,089.46","","0.78%"
"09/02/2024","1,090.31","1,081.13","1,093.54","1,081.13","","0.45%"
"08/30/2024","1,085.42","1,086.63","1,091.11","1,084.36","","-0.43%"
"08/29/2024","1,090.08","1,087.80","1,091.43","1,077.43","","0.22%"
"08/28/2024","1,087.64","1,077.56","1,097.21","1,073.65","","1.34%"
"08/27/2024","1,073.24","1,069.59","1,077.93","1,069.59","","1.27%"
"08/26/2024","1,059.75","1,047.81","1,061.55","1,047.81","","-0.13%"
"08/23/2024","1,061.16","1,057.24","1,061.16","1,057.24","","0.21%"
"08/22/2024","1,058.97","1,032.36","1,095.55","1,032.36","","2.50%"
