"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2024","3,578.08","3,589.81","3,594.95","3,570.07","","-0.32%"
"09/26/2024","3,589.60","3,564.89","3,595.51","3,564.89","","0.76%"
"09/25/2024","3,562.53","3,541.93","3,562.53","3,529.66","","0.51%"
"09/24/2024","3,544.41","3,519.25","3,544.41","3,515.82","","1.01%"
"09/23/2024","3,509.11","3,452.80","3,513.60","3,444.52","","1.55%"
"09/20/2024","3,455.62","3,464.69","3,472.38","3,451.37","","-0.24%"
"09/19/2024","3,463.86","3,448.65","3,463.86","3,431.80","","0.71%"
"09/18/2024","3,439.32","3,461.64","3,475.59","3,435.87","","-0.77%"
"09/17/2024","3,466.04","3,456.94","3,466.04","3,443.93","","0.44%"
"09/16/2024","3,450.69","3,442.39","3,450.69","3,424.31","","0.28%"
"09/13/2024","3,441.14","3,420.59","3,441.14","3,404.81","","0.94%"
"09/12/2024","3,409.23","3,441.06","3,458.19","3,404.59","","-0.46%"
"09/11/2024","3,425.12","3,455.25","3,467.13","3,424.16","","-0.89%"
"09/10/2024","3,455.85","3,494.75","3,501.14","3,455.85","","-0.74%"
"09/09/2024","3,481.63","3,501.08","3,505.46","3,481.63","","-0.65%"
"09/06/2024","3,504.57","3,496.41","3,505.07","3,490.41","","-0.27%"
"09/05/2024","3,514.06","3,495.58","3,517.55","3,495.58","","0.88%"
"09/04/2024","3,483.30","3,481.72","3,483.82","3,461.11","","-0.81%"
"09/03/2024","3,511.86","3,520.68","3,529.18","3,509.12","","-0.24%"
"09/02/2024","3,520.37","3,477.92","3,520.37","3,477.92","","1.34%"
"08/30/2024","3,473.66","3,471.41","3,477.18","3,458.43","","0.17%"
"08/29/2024","3,467.88","3,464.95","3,473.13","3,451.05","","0.09%"
"08/28/2024","3,464.73","3,494.22","3,507.97","3,463.27","","-0.76%"
"08/27/2024","3,491.09","3,510.12","3,529.80","3,490.87","","-0.37%"
"08/26/2024","3,503.97","3,493.70","3,508.58","3,483.78","","0.33%"
"08/23/2024","3,492.30","3,509.62","3,510.86","3,490.92","","-0.13%"
"08/22/2024","3,497.01","3,484.36","3,497.01","3,477.45","","0.26%"
"08/21/2024","3,488.07","3,467.02","3,495.70","3,467.02","","0.60%"
"08/20/2024","3,467.31","3,494.58","3,499.78","3,457.40","","-0.69%"
"08/19/2024","3,491.23","3,493.29","3,506.75","3,482.62","","-0.04%"
"08/16/2024","3,492.66","3,491.63","3,511.84","3,491.63","","0.65%"
"08/14/2024","3,470.24","3,436.74","3,471.68","3,435.90","","1.52%"
"08/13/2024","3,418.17","3,404.00","3,425.88","3,396.98","","0.40%"
"08/12/2024","3,404.58","3,366.08","3,411.73","3,366.08","","1.16%"
"08/09/2024","3,365.54","3,388.60","3,396.44","3,364.91","","0.04%"
"08/08/2024","3,364.32","3,376.37","3,376.37","3,342.61","","-0.88%"
"08/07/2024","3,394.20","3,356.85","3,408.79","3,356.85","","1.81%"
"08/06/2024","3,333.85","3,304.62","3,372.58","3,294.73","","2.24%"
"08/05/2024","3,260.81","3,481.19","3,483.06","3,204.76","","-6.53%"
"08/02/2024","3,488.58","3,554.13","3,554.13","3,485.56","","-3.16%"
"08/01/2024","3,602.55","3,604.06","3,609.42","3,573.31","","-0.12%"
"07/31/2024","3,606.78","3,563.32","3,606.78","3,563.32","","1.45%"
"07/30/2024","3,555.34","3,575.34","3,576.66","3,555.34","","-0.57%"
"07/29/2024","3,575.90","3,568.59","3,575.94","3,558.69","","0.01%"
"07/26/2024","3,575.55","3,560.00","3,576.74","3,557.46","","0.36%"
"07/25/2024","3,562.77","3,558.44","3,563.57","3,524.81","","-0.38%"
"07/24/2024","3,576.24","3,605.50","3,605.50","3,576.24","","-1.19%"
"07/23/2024","3,619.14","3,628.61","3,642.29","3,618.97","","-0.28%"
