"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2024","3,703.68","3,617.92","3,708.50","3,596.58","265.49K","4.47%"
"09/26/2024","3,545.32","3,399.32","3,545.32","3,391.68","243.13K","4.23%"
"09/25/2024","3,401.53","3,403.70","3,465.49","3,393.44","241.56K","1.48%"
"09/24/2024","3,351.91","3,244.65","3,351.97","3,222.49","204.07K","4.33%"
"09/23/2024","3,212.76","3,200.87","3,230.16","3,198.02","95.35K","0.37%"
"09/20/2024","3,201.05","3,192.43","3,207.99","3,173.22","118.06K","0.16%"
"09/19/2024","3,196.04","3,178.40","3,213.84","3,149.79","125.44K","0.79%"
"09/18/2024","3,171.01","3,158.82","3,179.90","3,145.79","84.72K","0.37%"
"09/13/2024","3,159.25","3,174.03","3,188.91","3,159.25","88.34K","-0.42%"
"09/12/2024","3,172.47","3,189.43","3,201.55","3,171.88","92.87K","-0.43%"
"09/11/2024","3,186.13","3,187.05","3,197.34","3,174.03","102.48K","-0.30%"
"09/10/2024","3,195.76","3,193.46","3,205.10","3,171.79","97.29K","0.09%"
"09/09/2024","3,192.95","3,214.80","3,222.93","3,180.93","108.67K","-1.19%"
"09/06/2024","3,231.35","3,261.15","3,274.81","3,231.07","88.40K","-0.81%"
"09/05/2024","3,257.76","3,252.96","3,266.88","3,247.17","97.11K","0.17%"
"09/04/2024","3,252.16","3,253.90","3,272.99","3,249.98","104.83K","-0.65%"
"09/03/2024","3,273.43","3,261.74","3,281.59","3,261.19","122.90K","0.26%"
"09/02/2024","3,265.01","3,307.54","3,307.76","3,264.76","147.61K","-1.70%"
"08/30/2024","3,321.43","3,273.75","3,351.63","3,273.65","188.70K","1.33%"
"08/29/2024","3,277.68","3,273.54","3,290.79","3,269.53","130.70K","-0.27%"
"08/28/2024","3,286.50","3,298.91","3,305.35","3,274.59","92.70K","-0.57%"
"08/27/2024","3,305.33","3,315.69","3,320.57","3,299.56","95.81K","-0.57%"
